reference,raw_asr,asr_number_normalized,number_norm_reasoning,asr_english_tagged,english_detection_reasoning,asr_full_pipeline,wer_raw,wer_num_norm,wer_num_delta,wer_impact_reasoning
ढलते सूरज के नीचे खेलना।,दव्दे सुरज के निचे खिलना,दव्दे सुरज के निचे खिलना,No number words — no normalization needed.,दव्दे सुरज के निचे खिलना,No English words detected — utterance is pure Hindi.,दव्दे सुरज के निचे खिलना,80.0,80.0,0.0,No WER change — no number words present in this utterance.
करियर के बारे में यह है कि।,करीर के बारे में यहां के वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो,करीर के बारे में यहां के वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो,No number words — no normalization needed.,करीर के बारे में यहां के वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो,No English words detected — utterance is pure Hindi.,करीर के बारे में यहां के वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो वह तो,1014.29,1014.29,0.0,No WER change — no number words present in this utterance.
ओके थैंक यू,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,No number words — no normalization needed.,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,No English words detected — utterance is pure Hindi.,अगर आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप,1866.67,1866.67,0.0,No WER change — no number words present in this utterance.
हूं हूं हूं हूं,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No number words — no normalization needed.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No English words detected — utterance is pure Hindi.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,1125.0,1125.0,0.0,No WER change — no number words present in this utterance.
तो वो जो बोलते हैं हां ठीक है में करवा देता हूँ फिर वो उस काम को पांच दस मिनिट में करा देते है तो उस समय ऐसा लगता है कि यार की मतलब सच में इंसानियत इंसान होने का यही मतलब है कि किसी अगर कुछ कर सको किसी के लिए तो इससे अच्छा कुछ नही हो सकता,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,No number words — no normalization needed.,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,No English words detected — utterance is pure Hindi.,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,100.0,100.0,0.0,No WER change — no number words present in this utterance.
पैसा चाहिए होता है सही बात है बिल्कुल बिल्कुल जी आज कल के कही भी जाने के लिए सबसे पहले जरूरी है पैसा सही बात,अज तो ज़ाई बाज़े नहीं जाएवाज़े जी खुड़ रहीं जाएज कर पी तहीं जाने के लिए सब ज़ोड़ी है पैसरो चाही वोट,अज तो ज़ाई बाज़े नहीं जाएवाज़े जी खुड़ रहीं जाएज कर पी तहीं जाने के लिए सब ज़ोड़ी है पैसरो चाही वोट,No number words — no normalization needed.,अज तो ज़ाई बाज़े नहीं जाएवाज़े जी खुड़ रहीं जाएज कर पी तहीं जाने के लिए सब ज़ोड़ी है पैसरो चाही वोट,No English words detected — utterance is pure Hindi.,अज तो ज़ाई बाज़े नहीं जाएवाज़े जी खुड़ रहीं जाएज कर पी तहीं जाने के लिए सब ज़ोड़ी है पैसरो चाही वोट,84.0,84.0,0.0,No WER change — no number words present in this utterance.
"हम्म आजकल तो आप देखे होंगे छोटे छोटे बच्चे सिगनल वगेरा में खड़े हो के भीख मांगते हैं, अब आदमी हम्म हम्म अब आदमी उनको देख के लगता है कि आज चप्पल नहीं पहने है, कपड़े नहीं पहने है, पर मदद कर देते हैं","अजकल तो आप देके होंगे शोटे-शोटे बच्छे सिगनल वगेरा में ख़डे होंके भीग मागते अब आदमी उप अदमी उनको देख के लखता है कि आप चपल नहीं पहने है, कपले नहीं पहने है, अपन मदध का देते है","अजकल तो आप देके होंगे शोटे-शोटे बच्छे सिगनल वगेरा में ख़डे होंके भीग मागते अब आदमी उप अदमी उनको देख के लखता है कि आप चपल नहीं पहने है, कपले नहीं पहने है, अपन मदध का देते है",No number words — no normalization needed.,"अजकल तो आप देके होंगे शोटे-शोटे बच्छे सिगनल वगेरा में ख़डे होंके भीग मागते अब आदमी उप अदमी उनको देख के लखता है कि आप चपल नहीं पहने है, कपले नहीं पहने है, अपन मदध का देते है",No English words detected — utterance is pure Hindi.,"अजकल तो आप देके होंगे शोटे-शोटे बच्छे सिगनल वगेरा में ख़डे होंके भीग मागते अब आदमी उप अदमी उनको देख के लखता है कि आप चपल नहीं पहने है, कपले नहीं पहने है, अपन मदध का देते है",54.55,54.55,0.0,No WER change — no number words present in this utterance.
ठीक है फिर यह बात आ जाती है तो अगर हम इस चीज के बारे में बात कर कुछ कुछ टेस्ट में मानती हूं कि हमारा लक भी होता है लेकिन जैसे एस बी आई के एग्जाम हो जाते है है ना,अगर अगर हमी इस चीज के बारे में बात कर कुछ कुछ तेस्ट में मानती हूँ की हमारा लक बी होता है लेकिन जैसे SBI के जैम हो जाते है है लेकिन जैसे SBI के जैम हो जाते है है लेकिन जैसे SBI के जैम हो जाते है है है लेकिन जैसे SBI के जैम हो जाते है है,अगर अगर हमी इस चीज के बारे में बात कर कुछ कुछ तेस्ट में मानती हूँ की हमारा लक बी होता है लेकिन जैसे SBI के जैम हो जाते है है लेकिन जैसे SBI के जैम हो जाते है है लेकिन जैसे SBI के जैम हो जाते है है है लेकिन जैसे SBI के जैम हो जाते है है,No number words — no normalization needed.,अगर अगर हमी इस चीज के बारे में बात कर कुछ कुछ तेस्ट में मानती हूँ की हमारा लक बी होता है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है,'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman. | 'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman. | 'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman. | 'SBI' tagged [EN] — Roman-script code-switching. Should be Devanagari per guidelines but ASR output Roman.,अगर अगर हमी इस चीज के बारे में बात कर कुछ कुछ तेस्ट में मानती हूँ की हमारा लक बी होता है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है है लेकिन जैसे [EN]SBI[/EN] के जैम हो जाते है है,104.76,104.76,0.0,No WER change — no number words present in this utterance.
टेक्नोलॉजी आई वीडियो कॉल्स स्टार्ट हुई आप आमने सामने मतलब वह नहीं लगता कि आप किसी बंदे से बहुत दिन से नहीं मिले हो तो वह फील होता है कि हाँ सामने ही है तो यह और और भी कई सारी चेंजेस हुई है जैसे आज के टाइम में इंटरनेट मतलब,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,No number words — no normalization needed.,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,No English words detected — utterance is pure Hindi.,अप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप आप �,107.84,107.84,0.0,No WER change — no number words present in this utterance.
आप बताइए आपके जीवन में क्या समस्याएं आई हैं,अब द़ाये अख्टी दीवन वी क्या च्वाँ प्यानी है,अब द़ाये अख्टी दीवन वी क्या च्वाँ प्यानी है,No number words — no normalization needed.,अब द़ाये अख्टी दीवन वी क्या च्वाँ प्यानी है,No English words detected — utterance is pure Hindi.,अब द़ाये अख्टी दीवन वी क्या च्वाँ प्यानी है,88.89,88.89,0.0,No WER change — no number words present in this utterance.
"हाँ, हाँ तो ऐसी मानसिकताओं को परिवर्तित करने का हाँ","अग, तो आजी माज सिक्ताव को परिवर्टित करने का अग,","अग, तो आजी माज सिक्ताव को परिवर्टित करने का अग,",No number words — no normalization needed.,"अग, तो आजी माज सिक्ताव को परिवर्टित करने का अग,",No English words detected — utterance is pure Hindi.,"अग, तो आजी माज सिक्ताव को परिवर्टित करने का अग,",70.0,70.0,0.0,No WER change — no number words present in this utterance.
तो मैं अपना आदर्श के रूप में अपने मां को मानता हूँ क्योंकि मेरे मां ने कभी भी मेरे डिसीजन पे मतलब अह कुछ नहीं बोला,तो में आदर्ष के रुप में आपने माखो मानता हो जोकी मेरे माने कभी भी मेरे देशिशन पे मतलप कुछ नहीं वोला,तो में आदर्ष के रुप में आपने माखो मानता हो जोकी मेरे माने कभी भी मेरे देशिशन पे मतलप कुछ नहीं वोला,No number words — no normalization needed.,तो में आदर्ष के रुप में आपने माखो मानता हो जोकी मेरे माने कभी भी मेरे देशिशन पे मतलप कुछ नहीं वोला,No English words detected — utterance is pure Hindi.,तो में आदर्ष के रुप में आपने माखो मानता हो जोकी मेरे माने कभी भी मेरे देशिशन पे मतलप कुछ नहीं वोला,57.69,57.69,0.0,No WER change — no number words present in this utterance.
जी जी जी तो मैं बता रहा हूँ न तो हम हम लोग गए थे अह्ह्ह तो वो मतलब बिहार ओर भारत के मतलब भारत ओर गुरु उसके बॉर्डर पे था तो हम लोग जब कैंपिंग करने गए थे अह्ह् कैंपिंग करने गये तो हम लोगो ने मतलब ऐसे घूमने की घूमने की अहह मतलब हम जंगल घूमने गए थे,तो मैं बतार हो नहीं तो हम लोग गयते तो विहार और भारत बारत वो तो उसके बोडर पिता तो नहीं जेख खंपी करने गयते तो हम नहीं जेगा तो आँप आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँ�,तो मैं बतार हो नहीं तो हम लोग गयते तो विहार और भारत बारत वो तो उसके बोडर पिता तो नहीं जेख खंपी करने गयते तो हम नहीं जेगा तो आँप आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँ�,No number words — no normalization needed.,तो मैं बतार हो नहीं तो हम लोग गयते तो विहार और भारत बारत वो तो उसके बोडर पिता तो नहीं जेख खंपी करने गयते तो हम नहीं जेगा तो आँप आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँ�,No English words detected — utterance is pure Hindi.,तो मैं बतार हो नहीं तो हम लोग गयते तो विहार और भारत बारत वो तो उसके बोडर पिता तो नहीं जेख खंपी करने गयते तो हम नहीं जेगा तो आँप आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँँ आँ�,83.33,83.33,0.0,No WER change — no number words present in this utterance.
यह चीज़ हां,याखेई यी यी यी यी यी,याखेई यी यी यी यी यी,No number words — no normalization needed.,याखेई यी यी यी यी यी,No English words detected — utterance is pure Hindi.,याखेई यी यी यी यी यी,200.0,200.0,0.0,No WER change — no number words present in this utterance.
ह्म्म,वुँ,वुँ,No number words — no normalization needed.,वुँ,No English words detected — utterance is pure Hindi.,वुँ,100.0,100.0,0.0,No WER change — no number words present in this utterance.
तो वो बहुत ही घना जंगल है वहां पे अभी भी मतलब सेर और बाग घूमते है ऐसे रातों को घूमते है वो तो क्या हुआ जब स्टेशन जहां उस जंगल का स्टेशन है वहां पर जब ट्रेन रुकी ना तो जब ही ट्रेन रुकी ना तो चारों तरफ से बंदर,अपने वाग गाना जंगल अपने अपने वी वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो व,अपने वाग गाना जंगल अपने अपने वी वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो व,No number words — no normalization needed.,अपने वाग गाना जंगल अपने अपने वी वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो व,No English words detected — utterance is pure Hindi.,अपने वाग गाना जंगल अपने अपने वी वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो वो व,133.33,133.33,0.0,No WER change — no number words present in this utterance.
हाँ,अहा,अहा,No number words — no normalization needed.,अहा,No English words detected — utterance is pure Hindi.,अहा,100.0,100.0,0.0,No WER change — no number words present in this utterance.
जी सुपर हीरो की कहानी का निवेशन करना अब ये सुपर हीरो की कहानी हमने बताया ना जैसे मैं मारवल और डीसी का हमेशा से फैन रहा हूं बच्चों पर नहीं से अभी भी उनकी ऐसा है अभी तो फिर में वगैरह लेकर कॉमिक्स की बारे में बात करें तो,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No number words — no normalization needed.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No English words detected — utterance is pure Hindi.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,100.0,100.0,0.0,No WER change — no number words present in this utterance.
नहीं होगा किज अ की कोई कोई सिचुएशन आता है कि मैं यहां जाऊ मुझे जाना चाहिए तो फिर मैं सोचता हूं अ मेरे पापा क्या करते थे उस टाइम अगर मेरे जगह होते थे होते तो तो ये सोचता हूं फिर मैं खुद ही पॉजिटिव हो जाता हूं,अगर मेरे जगा होते तो ये सूँस्ता हो फिर में खुदी पोजगती बोजगता हो,अगर मेरे जगा होते तो ये सूँस्ता हो फिर में खुदी पोजगती बोजगता हो,No number words — no normalization needed.,अगर मेरे जगा होते तो ये सूँस्ता हो फिर में खुदी पोजगती बोजगता हो,No English words detected — utterance is pure Hindi.,अगर मेरे जगा होते तो ये सूँस्ता हो फिर में खुदी पोजगती बोजगता हो,85.71,85.71,0.0,No WER change — no number words present in this utterance.
बट अ अ एक्स एक्सपेक्ट मैकबुक मतलब एप्पल से अ बैटर मेरी चॉइस है मतलब वेक्टर वेक्टर अ बोहोत बढ़िया लैपटॉप है गेमिंग के लिए,अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा �,अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा �,No number words — no normalization needed.,अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा �,No English words detected — utterance is pure Hindi.,अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा अग्टा �,116.0,116.0,0.0,No WER change — no number words present in this utterance.
ताकि जाकर वहां पे गोलगप्पे खा सक अ वो चीज़े स्पेशल थी हमारे लिए,अपाटा की जाकर वहापे गोलगपपे खाँ सक्छें तो वो चीजे स्प्छल ती हमारे लिए तो,अपाटा की जाकर वहापे गोलगपपे खाँ सक्छें तो वो चीजे स्प्छल ती हमारे लिए तो,No number words — no normalization needed.,अपाटा की जाकर वहापे गोलगपपे खाँ सक्छें तो वो चीजे स्प्छल ती हमारे लिए तो,No English words detected — utterance is pure Hindi.,अपाटा की जाकर वहापे गोलगपपे खाँ सक्छें तो वो चीजे स्प्छल ती हमारे लिए तो,85.71,85.71,0.0,No WER change — no number words present in this utterance.
ब्लैंक,अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,No number words — no normalization needed.,अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,No English words detected — utterance is pure Hindi.,अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप अप �,5700.0,5700.0,0.0,No WER change — no number words present in this utterance.
नए नए बिल्कुल सही कहा आपने हो सकता है आगे,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No number words — no normalization needed.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No English words detected — utterance is pure Hindi.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,450.0,450.0,0.0,No WER change — no number words present in this utterance.
हां सर हां जहां,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No number words — no normalization needed.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,No English words detected — utterance is pure Hindi.,अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर अगर,1125.0,1125.0,0.0,No WER change — no number words present in this utterance.
जी हा उस वजह से मैंने अ तबीयत भी बहुत खराब रह रही थी इसलिए हां जी हा पहले तो घरवाले ही घरवालों ने ही कहा था कि,तबिद्द्दी बहुत कराब प्रही थी अईस्टी आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ,तबिद्द्दी बहुत कराब प्रही थी अईस्टी आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ,No number words — no normalization needed.,तबिद्द्दी बहुत कराब प्रही थी अईस्टी आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ,No English words detected — utterance is pure Hindi.,तबिद्द्दी बहुत कराब प्रही थी अईस्टी आँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँँ,92.86,92.86,0.0,No WER change — no number words present in this utterance.
तो हमें अक्सर उनकी हेल्प करनी चाहिए,अपने अखशर उनकी हैंग़ा आपनी चाही हैं,अपने अखशर उनकी हैंग़ा आपनी चाही हैं,No number words — no normalization needed.,अपने अखशर उनकी हैंग़ा आपनी चाही हैं,No English words detected — utterance is pure Hindi.,अपने अखशर उनकी हैंग़ा आपनी चाही हैं,100.0,100.0,0.0,No WER change — no number words present in this utterance.
जी जी,अप भी यें,अप भी यें,No number words — no normalization needed.,अप भी यें,No English words detected — utterance is pure Hindi.,अप भी यें,150.0,150.0,0.0,No WER change — no number words present in this utterance.
हमे लगता है अरे हमने यार उनके साथ में फालतू कर दिया लेकिन उस समय बच्चे है हम बिल्कुल वो होते है मासूम होते है हमे इतनी खोज खबर कहां होती है है न,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,No number words — no normalization needed.,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,No English words detected — utterance is pure Hindi.,अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अपने अ�,111.76,111.76,0.0,No WER change — no number words present in this utterance.
